Country,data,min,perc_25,perc_50,perc_75,max
Sweden,carbon-intensity,3.1500615995073873,3.5890622862310626,4.284784397774572,4.769664609803475,5.947180009108549
Italy,carbon-intensity,219.02932912107204,235.09379886781247,278.9601300635785,284.95088317996425,296.7462081230315
Sweden,cfe,99.21393558572694,99.30520873229688,99.4110677615981,99.46748802190281,99.54097894541945
Italy,cfe,42.20317592072536,45.62150585284223,47.46551672291217,52.606625608513404,57.42364820497318
