Country,record_hour,avg_hour_carbon_intensity,avg_hour_cfe_percentage,hour_timestamp
Italy,0,280.35779572055407,47.46551672291217,2021-01-01T00:00:00.000Z
Italy,1,279.44570181322456,47.73470221603676,2021-01-01T01:00:00.000Z
Italy,2,278.9601300635785,47.79587269025172,2021-01-01T02:00:00.000Z
Italy,3,281.5439355942911,47.01153318299405,2021-01-01T03:00:00.000Z
Italy,4,284.95088317996425,45.62150585284223,2021-01-01T04:00:00.000Z
Italy,5,280.3798355530746,46.20783019800206,2021-01-01T05:00:00.000Z
Italy,6,265.65344953700173,49.35169063048523,2021-01-01T06:00:00.000Z
Italy,7,248.48633826619383,52.606625608513404,2021-01-01T07:00:00.000Z
Italy,8,235.09379886781247,54.77684466435761,2021-01-01T08:00:00.000Z
Italy,9,226.01212192773002,56.26066394181875,2021-01-01T09:00:00.000Z
Italy,10,220.76321695733773,57.13005469711899,2021-01-01T10:00:00.000Z
Italy,11,219.02932912107204,57.42364820497318,2021-01-01T11:00:00.000Z
Italy,12,221.68629018481997,56.845366152241816,2021-01-01T12:00:00.000Z
Italy,13,229.27109520799243,55.23506504374771,2021-01-01T13:00:00.000Z
Italy,14,243.04915765113492,52.37815875994025,2021-01-01T14:00:00.000Z
Italy,15,260.6126901834163,48.91650926797542,2021-01-01T15:00:00.000Z
Italy,16,276.17103350023797,46.44722791276184,2021-01-01T16:00:00.000Z
Italy,17,285.18136892246923,45.76407937004826,2021-01-01T17:00:00.000Z
Italy,18,289.71220402126846,45.028124599730944,2021-01-01T18:00:00.000Z
Italy,19,293.71542077452904,43.43688571493892,2021-01-01T19:00:00.000Z
Italy,20,296.7462081230315,42.20317592072536,2021-01-01T20:00:00.000Z
Italy,21,296.30667342982986,42.428425734700774,2021-01-01T21:00:00.000Z
Italy,22,288.7998154031178,44.718822763849005,2021-01-01T22:00:00.000Z
Italy,23,282.0455308583891,46.81546887887985,2021-01-01T23:00:00.000Z
Sweden,0,4.284784397774572,99.4119233713013,2021-01-01T00:00:00.000Z
Sweden,1,4.407043117700906,99.39512670309392,2021-01-01T01:00:00.000Z
Sweden,2,4.561875426406162,99.37748808080737,2021-01-01T02:00:00.000Z
Sweden,3,4.302491443500708,99.41158801215222,2021-01-01T03:00:00.000Z
Sweden,4,3.9121492121988255,99.46195071074834,2021-01-01T04:00:00.000Z
Sweden,5,3.8582956941669564,99.46683780009579,2021-01-01T05:00:00.000Z
Sweden,6,4.349890485926085,99.4110677615981,2021-01-01T06:00:00.000Z
Sweden,7,4.769664609803475,99.35496927792694,2021-01-01T07:00:00.000Z
Sweden,8,5.195557845793384,99.30520873229688,2021-01-01T08:00:00.000Z
Sweden,9,5.489034909670847,99.27351802379444,2021-01-01T09:00:00.000Z
Sweden,10,5.736707735967342,99.2402531534413,2021-01-01T10:00:00.000Z
Sweden,11,5.947180009108549,99.21393558572694,2021-01-01T11:00:00.000Z
Sweden,12,5.9228747418936925,99.21544152167789,2021-01-01T12:00:00.000Z
Sweden,13,5.366119089006643,99.27874055062149,2021-01-01T13:00:00.000Z
Sweden,14,4.7567830255470565,99.34893904313252,2021-01-01T14:00:00.000Z
Sweden,15,4.158959614953139,99.41028056578796,2021-01-01T15:00:00.000Z
Sweden,16,3.908172496004842,99.44028057226329,2021-01-01T16:00:00.000Z
Sweden,17,3.5890622862310626,99.48751550631357,2021-01-01T17:00:00.000Z
Sweden,18,3.357104722805663,99.50905544377613,2021-01-01T18:00:00.000Z
Sweden,19,3.2452429854282365,99.52190965760823,2021-01-01T19:00:00.000Z
Sweden,20,3.166509237153166,99.53745386748996,2021-01-01T20:00:00.000Z
Sweden,21,3.1500615995073873,99.54097894541945,2021-01-01T21:00:00.000Z
Sweden,22,3.438945923762971,99.50661878957885,2021-01-01T22:00:00.000Z
Sweden,23,3.824661195033385,99.46748802190281,2021-01-01T23:00:00.000Z
