record_year,record_month,avg_carbon_intensity,avg_cfe_percentage
2021,11,346.7285132302178,33.07668060196771
2022,3,347.3590725519324,35.82221772337473
2022,12,360.5199997604534,35.83831991687898
2022,1,326.94787593554423,36.603682807696764
2021,12,329.303508122762,37.86881719866106
